vuln_id,compiler,compiler_version,vulnerability_type,root_cause,root_cause_detail,impact,compilation_stage,description,reported_time,reference,NNSmith,MT-DLComp,TVMFuzz
10404,apache/tvm,v0.8,CWE-754: Improper Check for Unusual or Exceptional Conditions,IR Transformation Errors,"A crafted or edge-case Relay graph triggers MergeComposite to merge/annotate nodes in a way that violates Relay IR/type invariants, leading to a crash during subsequent type inference and causing compilation to fail (availability impact).",Invalid Output Generation,Frontend,[Bug] MergeComposite Pass breaks,2022-02-28T04:00:58Z,https://github.com/apache/tvm/issues/10404,N,N,N
10506,apache/tvm,v0.8,CWE-754: Improper Check for Unusual or Exceptional Conditions,Tensor Mapping Defects,"Relay quantization/operator legalization graph rewrite produces an IR with mismatched or invalid types, leading to a type error at inference time and causing a crash/availability loss when compiling or running the quantized model.",Invalid Output Generation,Frontend,[Bug] type error when inference after quantization,2022-03-07T02:33:30Z,https://github.com/apache/tvm/issues/10506,Y,N,Y
10528,apache/tvm,v0.8,CWE-754: Improper Check for Unusual or Exceptional Conditions,Invariant Violations,"A simple Relay model (Conv2d followed by Squeeze) triggers a GetStoreRule failure during layout transformation/alter_op_layout, leading to a compiler crash instead of gracefully handling the unsupported/invalid layout rule case.",Compilation Crash,Frontend,[Bug] GetStoreRule failure at simple Conv2d + Squeeze model,2022-03-08T06:38:01Z,https://github.com/apache/tvm/issues/10528,N,N,N
10545,apache/tvm,v0.8,Incorrect Preservation of Model Semantics,Backend Inconsistencies,"The compiled CUDA/PTX code can produce different inference outputs across repeated runs of the same model, indicating a semantic-equivalence violation likely due to nondeterministic GPU behavior (e.g., race conditions, uninitialized memory usage, or non-deterministic reduction/atomic ordering) introduced or not controlled by the code generation stage.",Inference Inconsistency,Backend,[Bug] TVM model give different results when run multiple times,2022-03-09T12:06:48Z,https://github.com/apache/tvm/issues/10545,N,N,N
10559,apache/tvm,v0.8,Incorrect Preservation of Model Semantics,Backend Inconsistencies,"The report describes inference outputs changing across repeated runs of the same compiled TVM model, indicating the compiled CUDA/PTX kernel execution is not semantically stable (e.g., due to nondeterministic parallel reductions, race conditions, or uninitialized/undefined memory usage), leading to inconsistent results without an explicit failure.",Inference Inconsistency,Backend,[Bug] TVM model give different results when run multiple times,2022-03-10T02:51:10Z,https://github.com/apache/tvm/issues/10559,N,N,N
10738,apache/tvm,v0.8,CWE-754: Improper Check for Unusual or Exceptional Conditions,Tensor Mapping Defects,"The ONNX frontend fails to correctly handle Reduce ops that produce scalar outputs (e.g., empty/None axes or full reduction), leading to an internal crash during ONNX->Relay conversion instead of gracefully validating or lowering the case.",Compilation Crash,Frontend,[Bug][ONNX][EdgeCase] Crash on Scalar Reduce ,2022-03-23T19:40:03Z,https://github.com/apache/tvm/issues/10738,N,N,N
10857,apache/tvm,v0.8,Improper Control of Compilation Availability,Memory Management Defects,"The Relay device planning/graph pass in device_planner.cc performs recursive traversal without sufficient termination/recursion-depth safeguards, allowing crafted or deeply nested Relay graphs to trigger stack overflow and crash the compiler.",Resource Exhaustion,Frontend,Another stack overflow due to recursive call in device_planner.cc,2022-04-01T06:15:27Z,https://github.com/apache/tvm/issues/10857,N,N,N
10877,apache/tvm,v0.8,Incorrect Preservation of Model Semantics,IR Transformation Errors,"The LoopVectorize and/or CompactBufferAllocation passes can apply invalid vectorization and buffer compaction, producing incorrect memory access patterns (e.g., wrong indexing/aliasing assumptions) that change the program’s computed results, leading to inference result inconsistency without necessarily crashing.",Invalid Output Generation,Backend,[Bug][TIR] Invalid loop vectorization and buffer compaction,2022-04-01T21:34:05Z,https://github.com/apache/tvm/issues/10877,N,N,N
11139,apache/tvm,v0.8,CWE-754: Improper Check for Unusual or Exceptional Conditions,IR Transformation Errors,"During auto-scheduler schedule search/sketch generation, the compiler crashes when the same input tensor is accessed/consumed by two separate te.compute() operations, indicating missing handling/validation of this graph pattern and leading to a compilation-time availability failure.",Compilation Crash,Backend,[Bug] auto scheduler fails when an input is accessed in two te.compute() functions,2022-04-27T08:17:16Z,https://github.com/apache/tvm/issues/11139,N,N,N
11309,apache/tvm,v0.8,Improper Control of Compilation Availability,Memory Management Defects,"The TVM VM CUDA runtime/device API and VM output handling do not robustly detect or recover from a GPU reset, leading to continued use of invalidated CUDA contexts/pointers and triggering invalid memory accesses (crash and potential memory corruption) when subsequent VM operations access previously allocated GPU memory.",Memory-safety Violation,Runtime,[Bug] [VM][CUDA] Invalid memory access after GPU reset.,2022-05-13T12:50:12Z,https://github.com/apache/tvm/issues/11309,N,N,N
11351,apache/tvm,v0.8,CWE-754: Improper Check for Unusual or Exceptional Conditions,Tensor Mapping Defects,"The Relay-to-TIR lowering/TOPI schedule selection path chooses or generates the conv2d_nhwc_dsp.arm_cpu implementation that incorrectly assumes/handles data types, leading to a mismatch or invalid casting/packing when both input and output are float32, which triggers a crash during lowering or codegen.",Compilation Crash,Backend,[conv2d][DSP][ARM] conv2d_nhwc_dsp.arm_cpu has error with input float32 and output float32 type,2022-05-18T00:42:20Z,https://github.com/apache/tvm/issues/11351,Y,Y,N
11394,apache/tvm,v0.8,Incorrect Preservation of Model Semantics,IR Transformation Errors,"The CMSIS-NN BYOC integration’s AllocateConstNodes logic mishandles constant nodes during code generation (allocation and symbol emission), which can be triggered by certain models to produce inconsistent inference results and/or cause codegen/runtime crashes, degrading compilation/inference availability.",Invalid Output Generation,Backend,[Bug] Problem with AllocateConstNodes in CMSIS-NN code ,2022-05-20T15:41:02Z,https://github.com/apache/tvm/issues/11394,N,N,N
11452,apache/tvm,v0.8,Improper Control of Compilation Availability,Backend Inconsistencies,"Importing TVM alongside newer MXNet versions triggers a crash at Python module import / shared-library initialization time, indicating missing/insufficient compatibility checks and unsafe initialization order/ABI assumptions that can cause process termination (and potentially memory corruption) during runtime/FFI setup.",Memory-safety Violation,Runtime,[Bug] import of mxnet newer than 1.6.0 after tvm is crashed,2022-05-25T09:28:14Z,https://github.com/apache/tvm/issues/11452,N,N,N
11558,apache/tvm,v0.8,CWE-617: Reachable Assertion,Invariant Violations,"During Relay-to-TE lowering for relay.vision.non_max_suppression, TE schedule bound inference (InferBound) assumes a required mapping entry exists (it != rmap->end()) and enforces it via a CHECK. A crafted/edge-case model triggers a state where the mapping is absent, causing a reachable assertion and compiler crash (availability impact).",Compilation Crash,Backend,[Bug] Check failed: (it != rmap->end()) when using relay.build in relay.vision.non_max_suppression,2022-06-03T09:19:33Z,https://github.com/apache/tvm/issues/11558,N,N,N
11640,apache/tvm,v0.8,CWE-20: Improper Input Validation,Tensor Mapping Defects,"Relay type inference for reduction operators does not correctly validate/handle the unusual case `axis=[]`, resulting in a segmentation fault (likely due to invalid indexing/assumptions about non-empty axes) and allowing a crafted model/IR to crash the compiler during analysis.",Compilation Crash,Frontend,[Bug] Segmentation fault during type inference of reduction operators with `axis=[]`,2022-06-09T06:21:04Z,https://github.com/apache/tvm/issues/11640,N,N,N
11679,apache/tvm,v0.8,CWE-20: Improper Input Validation,Tensor Mapping Defects,"Relay InferType for strided_slice assumes non-empty `begin` (and related arrays) and performs indexed access without guarding against the empty-list case, leading to an index error and compiler crash when given a crafted model with empty `begin`.",Compilation Crash,Frontend,[Bug] Index error in type inference of `strided_slice` with empty `begin`,2022-06-11T03:18:33Z,https://github.com/apache/tvm/issues/11679,N,N,N
11687,apache/tvm,v0.8,CWE-682: Incorrect Calculation,Numerical Computing Defects,"The nn.pad operator with pad_mode='reflect' produces wrong padded values at runtime, indicating a semantic mismatch between expected reflect-padding behavior and the generated/operator implementation, leading to inconsistent inference results without necessarily crashing.",Inference Inconsistency,Runtime,[Bug] Wrong padded values of `nn.pad` with `pad_mode='reflect'`,2022-06-13T03:36:21Z,https://github.com/apache/tvm/issues/11687,N,N,N
11697,apache/tvm,v0.8,CWE-754: Improper Check for Unusual or Exceptional Conditions,Tensor Mapping Defects,"A graph containing nn.bias_add followed by squeeze with axis=[] triggers a runtime execution error/crash in GraphExecutor or the generated TIR operator invocation because the runtime/operator implementation does not correctly handle the exceptional condition of an empty axis list, leading to an uncaught exception and loss of availability.",Compilation Crash,Runtime,[Bug] Execution error of a simple `nn.bias_add` + `squeeze` graph where `axis=[]`,2022-06-14T03:18:27Z,https://github.com/apache/tvm/issues/11697,N,N,N
11704,apache/tvm,v0.8,CWE-754: Improper Check for Unusual or Exceptional Conditions,Backend Inconsistencies,"A crafted Relay graph combining broadcasting operators with a dense op triggers an unhandled edge case during lowering/operator scheduling (TOPI schedule selection for dense on x86), causing the compiler to crash instead of rejecting or safely handling the unsupported shape/layout scenario.",Compilation Crash,Backend,[Bug] Relay program with broadcasting operators and `dense` cannot be compiled,2022-06-14T14:12:20Z,https://github.com/apache/tvm/issues/11704,Y,N,N
11716,apache/tvm,v0.8,CWE-754: Improper Check for Unusual or Exceptional Conditions,IR Transformation Errors,"A crafted TIR schedule combining tensorize and prefetch causes the arith/int_set and buffer access domain analysis during lowering to hit an unhandled case (e.g., invalid/unsupported access domain), leading to a compiler crash and denial of compilation availability.",Compilation Crash,Backend,[Bug] Crash with tensorize + prefetch after PR#11589,2022-06-14T18:47:45Z,https://github.com/apache/tvm/issues/11716,N,N,Y
11794,apache/tvm,v0.8,CWE-617: Reachable Assertion,Invariant Violations,"A model using an Int64 broadcast followed by ArgMax can reach an internal assertion in TVM's graph runtime due to missing/incorrect handling of this dtype/operator combination during Relay->TE/TIR lowering or runtime module generation, causing a crash instead of graceful error handling.",Compilation Crash,Backend,[Bug] Int64 BroadCast-ArgMax triggers assertion error at graph runtime,2022-06-21T04:03:46Z,https://github.com/apache/tvm/issues/11794,N,N,N
11810,apache/tvm,v0.8,CWE-754: Improper Check for Unusual or Exceptional Conditions,Memory Management Defects,"During code generation for CMSIS-NN/ARM, TVM emits a call to `arm_avgpool_s8` without properly setting/providing the required context buffer, causing CMSIS-NN to return `ARM_MATH_ARGUMENT_ERROR` and leading to a crash/failed execution.",Memory-safety Violation,Backend,[CMSIS-NN][ARM] ARM_MATH_ARGUMENT_ERROR due to not setting the context buffer in `arm_avgpool_s8`,2022-06-21T22:44:36Z,https://github.com/apache/tvm/issues/11810,Y,N,N
11897,apache/tvm,v0.8,CWE-754: Improper Check for Unusual or Exceptional Conditions,Tensor Mapping Defects,"A specific combination of concatenating a strided slice with negative padding triggers wrong buffer binding in storage_flatten/buffer binding, leading to invalid memory access patterns in lowered TIR and a compiler/runtime crash, enabling denial-of-service via a crafted model/IR.",Invalid Output Generation,Backend,[Bug] concatenating strided slice and negative padding causes wrong buffer binding,2022-06-25T00:54:09Z,https://github.com/apache/tvm/issues/11897,N,N,N
11898,apache/tvm,v0.8,CWE-617: Reachable Assertion,Invariant Violations,"In the TIR pass `lower_thread_allreduce`, the `is_zero(index)` condition is evaluated incorrectly (false when it should be true), leading to generation of invalid GPU synchronization/allreduce code paths and a resulting crash during compilation or runtime for crafted kernels/models that trigger this lowering.",Compilation Crash,Backend,[Bug] GPU `lower_thread_allreduce` is_zero(index) check false,2022-06-25T04:08:34Z,https://github.com/apache/tvm/issues/11898,N,N,N
12001,apache/tvm,v0.8,CWE-754: Improper Check for Unusual or Exceptional Conditions,IR Transformation Errors,"The Softmax TE schedule can emit nested parallel constructs during TE-to-TIR lowering, which are not supported by the downstream TIR/LLVM CPU codegen path, leading to a compiler crash when compiling affected models.",Invalid Output Generation,Backend,[Bug][TE Schedule] Unsupported nested parallel created by Softmax TE schedule,2022-07-04T05:03:00Z,https://github.com/apache/tvm/issues/12001,N,N,N
12008,apache/tvm,v0.8,CWE-20: Improper Input Validation,Tensor Mapping Defects,"During Relay graph optimization (AlterOpLayout/layout transformation), the Resize operator fails to reject unsupported layouts, allowing a crafted model/IR to reach an unhandled path and crash the compiler/runtime instead of producing a controlled error.",Compilation Crash,Frontend,Resize does not reject unsupported layout during AlterOpLayout,2022-07-05T01:53:57Z,https://github.com/apache/tvm/issues/12008,N,Y,N
2249,openxla/xla,Before commit 0d9a1dbc2b02a316afbae3e3c9b4083dc16b894b,CWE-754: Improper Check for Unusual or Exceptional Conditions,Backend Inconsistencies,"A change in the XLA GPU code generation/runtime path after commit 16e953a9 triggers a crash when executing on Pascal GPUs under WSL, indicating missing capability/compatibility checks (or incorrect target feature selection) for that GPU/WSL driver stack, leading to a denial-of-service via runtime crash.",Invalid Output Generation,Backend,JAX built against XLA crashes on Pascal GPUs in WSL after commit 16e953a921c150dcaf012299a52d771e4bb425c2,2023-03-31T16:40:57Z,https://github.com/openxla/xla/issues/2249,N,Y,N
2438,openxla/xla,Before commit 3f88aaaaaff1e1ebe112698bfd2ac40803ffd82c,CWE-682: Incorrect Calculation,Numerical Computing Defects,"During HLO optimization (algebraic simplification/constant folding), XLA rewrites a scalar boolean * float expression into a select() form in a way that is not semantically equivalent for all inputs/edge cases, producing inconsistent inference results compared to the original computation.",Inference Inconsistency,Frontend,XLA incorrectly optimizes scalar bool*float to select(),2023-04-10T13:14:57Z,https://github.com/openxla/xla/issues/2438,N,N,N
2793,openxla/xla,Before commit 1496c11685ee62940fde1d290576d49845fee8bd,CWE-754: Improper Check for Unusual or Exceptional Conditions,Invariant Violations,"A crafted TensorFlow graph can trigger XLA JIT auto-clustering to form an invalid cluster that later fails during HLO lowering/type inference, resulting in an InvalidArgument error and aborting compilation/execution (availability-impacting crash/failure due to missing validation/guardrails in the partitioning/type-inference pipeline).",Compilation Crash,Frontend,Auto Clustering Leading to Invalid Argument Error,2023-05-04T04:49:19Z,https://github.com/openxla/xla/issues/2793,N,N,N
2800,openxla/xla,Before commit 1496c11685ee62940fde1d290576d49845fee8bd,CWE-787: Out-of-bounds Write,Memory Management Defects,"The GPU backend's Triton GEMM lowering can generate kernels that perform illegal global memory accesses (e.g., missing/incorrect boundary predicates or miscomputed tile/stride offsets), leading to out-of-bounds memory writes/reads on H100 and resulting in memory corruption and crashes.",Memory-safety Violation,Backend,CUDA illegal memory access on H100 from triton gemm,2023-05-04T16:14:33Z,https://github.com/openxla/xla/issues/2800,N,N,N
2836,openxla/xla,Before commit 6830a3d54503bacf93baf155b2af5ce0a31dd1d9,CWE-754: Improper Check for Unusual or Exceptional Conditions,Backend Inconsistencies,"During GPU/PTX code generation, XLA can generate a PTX `cvt` instruction without the required rounding modifier, producing invalid assembly that causes the PTX assembler/toolchain to fail and crash/abort compilation for affected (crafted) programs.",Invalid Output Generation,Backend,Rounding modifier required for instruction 'cvt',2023-05-07T01:30:05Z,https://github.com/openxla/xla/issues/2836,N,Y,N
3524,openxla/xla,Before commit 01767b84059a293c9e2e16e57549b34e7f4664fe,CWE-20: Improper Input Validation,Invariant Violations,"During GPU/Triton lowering and launch configuration, the compiler can emit a kernel launch with grid dimensions that exceed CUDA hardware/runtime limits. A crafted model/program that induces very large tiling/grid sizes triggers a kernel launch failure and crash, indicating improper handling of exceptional launch-parameter conditions.",Compilation Crash,Backend,[CUDA] Kernel launch failure due to large Triton grid dimensions,2023-06-12T14:13:41Z,https://github.com/openxla/xla/issues/3524,N,N,N
4001,openxla/xla,Before commit 1385097da53a96d993386a2124175bcaba9b6153,Improper Control of Compilation Availability,Memory Management Defects,"In the multi-GPU XLA runtime path for FP8 GEMM, the scaling-factor buffer pointer is taken from the wrong device/context, causing a GPU library call to read/write using an invalid device pointer. This can lead to memory corruption and crashes during GPU execution.",Memory-safety Violation,Runtime,Incorrect device pointer usage in multi-GPU XLA implementation for FP8 GEMM scaling factor,2023-07-03T17:50:00Z,https://github.com/openxla/xla/issues/4001,N,N,N
4258,openxla/xla,Before commit 087dba98e3f60d698225578803c99071529916a5,CWE-617: Reachable Assertion,Invariant Violations,"The HLO verification/validation path can be driven by an invalid XLA graph into a hard CHECK failure (`Check failed: !IsManual()`), causing an immediate crash instead of gracefully rejecting the input with a recoverable error, enabling denial-of-service via crafted IR/model.",Compilation Crash,Frontend,`Check failed: !IsManual()` raised when the XLA graph is invalid,2023-07-14T16:04:44Z,https://github.com/openxla/xla/issues/4258,N,N,N
4340,openxla/xla,Before commit 085e44c51f5aca8aeb3725c48a49bbc2320c0a74,CWE-617: Reachable Assertion,Invariant Violations,"A crafted JAX manual sharding setup can drive the HLO SPMD partitioner into an internal state that violates its assumptions, triggering debug/check assertions and crashing compilation instead of handling the case gracefully.",Compilation Crash,Backend,JAX manual sharding triggers assertions in SPMD partitioner,2023-07-19T06:43:52Z,https://github.com/openxla/xla/issues/4340,N,N,N
4431,openxla/xla,Before commit 2b0aeb3a2cc14c7db344f472c33f449df5923a59,CWE-754: Improper Check for Unusual or Exceptional Conditions,Others,"XLA runtime profiling initialization can crash when invoked via JAX, indicating missing robustness/validation around profiling/instrumentation setup (e.g., unexpected environment/configuration/state), allowing a crafted execution configuration to cause a denial-of-service via process crash.",Compilation Crash,Runtime,Profiling crashes when run using JAX,2023-07-21T22:25:14Z,https://github.com/openxla/xla/issues/4431,Y,Y,N
4491,openxla/xla,Before commit 05a6aa3e87af9f288162de9d4be00e0681327583,CWE-704: Incorrect Type Conversion or Cast,Tensor Mapping Defects,"During IR lowering, dynamic-slice indices provided as uint8 are not correctly converted/extended to the expected index type, leading to wrong slice offsets and thus incorrect inference results without necessarily crashing.",Invalid Output Generation,Frontend,Dynamic slice with `uint8` index returns incorrect result,2023-07-25T17:32:58Z,https://github.com/openxla/xla/issues/4491,Y,N,N
4762,openxla/xla,Before commit 0765a7596670f9b8967de37660d4cd255805249c,CWE-617: Reachable Assertion,Invariant Violations,"The hlo_live_range analysis contains an assertion that can be triggered by a crafted/invalid HLO module when processed via run_hlo_module or hlo_runner, causing an assertion failure and compiler crash (denial of service) during HLO analysis/optimization.",Compilation Crash,Backend,hlo_live_range reports assertion failure when running an HLO module file through run_hlo_module or multihost_hlo_runner/hlo_runner_main,2023-08-04T15:04:34Z,https://github.com/openxla/xla/issues/4762,N,N,N
4803,openxla/xla,Before commit 0c454d65be23928016675440d00f30a4640978ce,CWE-682: Incorrect Calculation,Numerical Computing Defects,"Before commit 0c454d65be23928016675440d00f30a4640978ce, XLA:GPU performed an invalid optimization/transformation of boolean operators during GPU codegen/lowering, producing compiled kernels whose boolean logic could differ from the original HLO semantics, leading to inconsistent/incorrect inference results without necessarily crashing.",Inference Inconsistency,Backend,XLA:GPU incorrect optimization of boolean operators,2023-08-07T16:59:18Z,https://github.com/openxla/xla/issues/4803,N,N,N
4833,openxla/xla,Before commit 0708d3c856bfeb98e312d7f04fc7b1cfed2c72a9,CWE-754: Improper Check for Unusual or Exceptional Conditions,Tensor Mapping Defects,"The GPU backend code generation/lowering path encounters a layout where the batch dimension is in the most-minor dimension and responds by emitting an `UNIMPLEMENTED: batch in most minor dimension` error, causing a crash/abort instead of gracefully rejecting or handling the input; a crafted HLO/module with this layout can reliably trigger a denial-of-service during compilation.",Compilation Crash,Backend,`UNIMPLEMENTED: batch in most minor dimension`,2023-08-08T13:01:22Z,https://github.com/openxla/xla/issues/4833,N,N,N
5932,openxla/xla,Before commit 00142925537473608471f94ca678202ed54cc658,CWE-754: Improper Check for Unusual or Exceptional Conditions,Backend Inconsistencies,"When targeting NVIDIA CC 9.0, the backend attempts to use ptxas even though it does not support that architecture, and the fallback to CUDA driver PTX compilation is not correctly applied/selected. This leads to a compilation failure/crash during GPU code generation/JIT, allowing a crafted configuration/model targeting CC 9.0 to reliably break compilation/inference availability.",Compilation Crash,Backend,[Bug] Falling back to the CUDA driver for PTX compilation; ptxas does not support CC 9.0,2023-09-27T03:50:50Z,https://github.com/openxla/xla/issues/5932,N,N,N
6353,openxla/xla,Before commit 04fb2f91205c6331c8942b5598e5677fd42da58d,CWE-754: Improper Check for Unusual or Exceptional Conditions,IR Transformation Errors,"The HLO optimization pass (LoopDoubleBufferTransformer) makes invalid assumptions about the structure/properties of loops/buffers and does not robustly validate preconditions before transforming, leading to a compiler crash when presented with certain (crafted or uncommon) HLO graphs.",Compilation Crash,Backend,LoopDoubleBufferTransformer makes spurious assumptions,2023-10-16T17:55:49Z,https://github.com/openxla/xla/issues/6353,Y,Y,N
6370,openxla/xla,Before commit 1233e8ab314d718306bc6b2b3f7ec5f0019a9658,CWE-754: Improper Check for Unusual or Exceptional Conditions,Backend Inconsistencies,"The GPU backend/runtime dispatch path for FP8 matmul does not robustly validate/handle cuBLASLtMatmul (or algorithm selection) failures, resulting in an INTERNAL error/crash when certain FP8 configurations are used, allowing a crafted model/input to trigger a denial-of-service via backend failure.",Compilation Crash,Backend,Getting 'INTERNAL: cublasLtMatmul' error when using FP8,2023-10-17T00:26:23Z,https://github.com/openxla/xla/issues/6370,Y,Y,N
6523,openxla/xla,Before commit 175ea7d3d583bfd8de45f53be75975991fb11dbd,CWE-754: Improper Check for Unusual or Exceptional Conditions,Backend Inconsistencies,"A Triton version update in XLA’s GPU backend leads to generation/assembly of PTX (or ptxas invocation) that crashes on Hopper GPUs, allowing a crafted model/program to trigger a denial-of-service via backend code generation/execution failure.",Invalid Output Generation,Backend,The recent triton version bump crashes execution on Hopper GPU,2023-10-25T00:43:07Z,https://github.com/openxla/xla/issues/6523,Y,Y,N
6561,openxla/xla,Before commit 10bad5112ac6d4a31bc847d3813d626ada3343a0,Improper Control of Compilation Availability,IR Transformation Errors,"Enabling the HLO auto_sharding optimization pass in OSS triggers a segmentation fault during the GPU compilation pipeline, indicating a compiler/runtime crash (potentially due to invalid memory access) that can be induced by specific models/configurations, impacting compilation/inference availability and possibly causing memory corruption.",Compilation Crash,Backend,[xla:gpu] enabling `auto_sharding` pass in OSS results in segfault ,2023-10-26T10:44:02Z,https://github.com/openxla/xla/issues/6561,N,N,N
