vuln_id,compiler,compiler_version,vulnerability_type,root_cause,root_cause_detail,description,reported_time,reference
974,apache/tvm,v0.2.pre,CWE-754: Improper Check for Unusual or Exceptional Conditions,Backend Inconsistencies,"The report indicates TVM v0.2.pre crashes when running initial unit tests, pointing to a stability/availability issue triggered during LLVM code generation or at the runtime ABI interface. This suggests missing robustness checks/handling for unexpected IR/codegen states or ABI mismatches, leading to a compiler/runtime crash rather than a controlled error.",Running into two problems trying to run first real unit tests,2018-03-08T21:54:09Z,https://github.com/apache/tvm/issues/974
1014,apache/tvm,v0.2.pre,CWE-787: Out-of-bounds Write,Memory Management Defects,"During lowering (specifically buffer bound inference for cache_read), the compiler can generate incorrect lower-bound conditions for accessed regions, leading to miscomputed buffer extents and subsequent out-of-bounds memory writes/reads in generated code, causing memory corruption or crashes when triggered by crafted schedules/models.",[SCHEDULE] Generate Lower Bound Conditions,2018-03-16T22:18:35Z,https://github.com/apache/tvm/issues/1014
1024,apache/tvm,v0.2.pre,CWE-754: Improper Check for Unusual or Exceptional Conditions,Backend Inconsistencies,"A specific graph pattern (softmax applied to a concatenated array) triggers a backend codegen failure/crash, indicating missing validation/handling of this unusual input shape/layout combination and resulting in a denial-of-service condition during compilation.",[TOPI] Error while doing softmax on concatenated array,2018-03-19T12:26:04Z,https://github.com/apache/tvm/issues/1024
1226,apache/tvm,v0.2.pre,CWE-787: Out-of-bounds Write,Memory Management Defects,"At the Rust↔TVM runtime FFI boundary for `BackendParallelLaunch`, arguments/structures are passed with an incompatible ABI (e.g., wrong type/size/alignment or calling convention), causing the callee to write past allocated heap buffers and corrupt memory.",[TVM][RUST] Heap corruption when using FFI for `BackendParallelLaunch`,2018-06-04T20:03:23Z,https://github.com/apache/tvm/issues/1226
1363,apache/tvm,v0.2.pre,Improper Control of Compilation Availability,Memory Management Defects,"The runtime/library relies on global/static objects whose destructors run in an undefined order at process exit, causing dependent objects to be destroyed first and triggering crashes during library shutdown.",[DISCUSS][RFC] Static Destruction Order Problem,2018-06-30T15:46:21Z,https://github.com/apache/tvm/issues/1363
1420,apache/tvm,v0.2.pre,Incorrect Preservation of Model Semantics,Backend Inconsistencies,"The TOPI conv2d schedule/compute dispatch for the Intel HD Graphics (OpenCL) target is incorrect, leading to wrong numerical outputs at inference despite successful compilation, indicating a semantic mismatch introduced during lowering/target-specific operator implementation.",[TOPI] Conv2d Schedule for Intel HD Graphics Target fails and produces wrong output,2018-07-11T12:42:52Z,https://github.com/apache/tvm/issues/1420
1582,apache/tvm,v0.2.pre,Improper Control of Compilation Availability,Backend Inconsistencies,"TVM exposes/uses std::string in a DLL interface on Windows; when the runtime is built with a different C runtime linkage (e.g., /MT static CRT vs /MD), memory allocation/deallocation occurs across incompatible CRTs, leading to crashes and potential memory corruption at runtime.",TVM can't run with static c runtime (/MT) on Windows due to std:: string in dll interface,2018-08-10T05:37:53Z,https://github.com/apache/tvm/issues/1582
1807,apache/tvm,v0.4.pre,Improper Control of Compilation Availability,IR Transformation Errors,"The NNVM InferShape / SimplifyInference optimization pipeline at opt_level=3 triggers a failure when compiling ResNet18_v1 (notably on Raspberry Pi 3B+), indicating an unhandled condition in shape inference/graph simplification that can be used to cause compilation to fail (availability impact).",Resnet18_v1 compilation fails with opt_level=3 on Raspberry Pi 3B+,2018-10-03T20:56:42Z,https://github.com/apache/tvm/issues/1807
2067,apache/tvm,v0.4.pre,CWE-476: NULL Pointer Dereference,Memory Management Defects,"A Registry::Manager / PackedFunc runtime path can dereference a null (or otherwise invalid) function pointer when looking up or invoking a registered function, leading to a segmentation fault and denial of service.",[RUNTIME][PackedFunc][Registry::Manager] Segfault with Registry::Manager and PackedFunc on x86_64 GNU/Linux.,2018-11-05T19:57:00Z,https://github.com/apache/tvm/issues/2067
2088,apache/tvm,v0.4.pre,CWE-754: Improper Check for Unusual or Exceptional Conditions,IR Transformation Errors,"The thread synchronization insertion pass can place a sync primitive inside an IfThenElse region where synchronization is disallowed, causing compilation to fail/crash for certain (valid) generated IR patterns such as the TOPI LSTM schedule.",TOPI LSTM recipe fails to compile due to inserting sync is disallowed inside unnecessary `IfThenElse`,2018-11-11T23:37:15Z,https://github.com/apache/tvm/issues/2088
2136,apache/tvm,v0.4.pre,CWE-754: Improper Check for Unusual or Exceptional Conditions,IR Transformation Errors,"A defect in handling reduce operations during graph-level compilation/lowering (GraphCompile / CompileEngine::GetScheduleArgs) causes a test failure/crash, indicating malformed or certain reduce patterns can trigger a compilation-time crash and impact availability.","[CI]Suspect a bug in reduce ops, leading to test_script failure",2018-11-20T08:05:38Z,https://github.com/apache/tvm/issues/2136
2382,apache/tvm,v0.4.pre,CWE-754: Improper Check for Unusual or Exceptional Conditions,Tensor Mapping Defects,"The Relay AlterOpLayout optimization pass does not correctly handle Tuple expressions (and/or TupleGetItem), causing an internal error/crash when a crafted Relay graph contains Tuple structures during layout alteration.",[RELAY][PASS] AlterOpLayout handling for Tuple,2019-01-07T14:10:37Z,https://github.com/apache/tvm/issues/2382
2418,apache/tvm,v0.4.pre,CWE-682: Incorrect Calculation,Numerical Computing Defects,"The IR arithmetic simplifier applies the distributive property to floating-point expressions, which is not semantics-preserving under IEEE-754 due to rounding, overflow/underflow, NaNs, and signed zeros. This can change numerical results between the original and optimized program, causing inference inconsistencies without an explicit failure.",[RFC] Disable Floating-point distributive property,2019-01-11T01:45:00Z,https://github.com/apache/tvm/issues/2418
2421,apache/tvm,v0.4.pre,CWE-682: Incorrect Calculation,Numerical Computing Defects,"LLVM backend/codegen enables floating-point optimization flags (e.g., fast-math/reciprocal transforms) that can miscompile division operations, producing incorrect results (notably in sigmoid) and causing inference inconsistencies without a crash.",[BUG][LLVM] Division by inf bug (affects sigmoid),2019-01-11T13:02:09Z,https://github.com/apache/tvm/issues/2421
2431,apache/tvm,v0.4.pre,Improper Control of Compilation Availability,IR Transformation Errors,"The Relay optimization (operator fusion) exhibits flaky/nondeterministic compilation for the GluonCV SSD model, leading to intermittent crashes or failed builds and thus impairing compilation availability/reliability when triggered by specific model graphs.",[Relay] Flaky Compilation for Gluoncv SSD model,2019-01-14T23:42:20Z,https://github.com/apache/tvm/issues/2431
2455,apache/tvm,v0.4.pre,CWE-682: Incorrect Calculation,Numerical Computing Defects,"The IR optimization pass performs arithmetic on integer bounds/expressions without overflow-safe checks or wider-precision handling, causing wraparound during interval analysis and simplification. This can lead to incorrect inferred ranges and wrong simplification decisions, producing compiled code with inconsistent inference results versus the original model.",[BUG] Integer overflow during interval analysis and simplification,2019-01-17T16:20:46Z,https://github.com/apache/tvm/issues/2455
2511,apache/tvm,v0.4.pre,CWE-754: Improper Check for Unusual or Exceptional Conditions,Backend Inconsistencies,"During LLVM backend code generation/instruction selection, TVM emits IR that triggers an internal LLVM error when compiling the MobileFaceNet model after auto-tuning; the failure is not handled gracefully and results in a compiler crash, enabling denial-of-service via a crafted model/schedule.",LLVM error on mobilefacenet compile after successful auto-tune,2019-01-25T22:19:37Z,https://github.com/apache/tvm/issues/2511
2796,apache/tvm,v0.5-pre,CWE-617: Reachable Assertion,Invariant Violations,"The IR loop unroller contains an assertion that the loop extent/trip count is a compile-time constant; when given a loop with a non-constant bound, the assertion is reachable and triggers a compiler crash, enabling denial of service via crafted IR/model.",[TVM] Loop unroller tries to unroll a loop with a non-constant loop count and asserts,2019-03-12T19:46:09Z,https://github.com/apache/tvm/issues/2796
2826,apache/tvm,v0.5-pre,CWE-754: Improper Check for Unusual or Exceptional Conditions,IR Transformation Errors,"A crafted model using conv2d_transpose (e.g., DCGAN benchmark) can drive TVM’s lowering/MakeAPI (TIR-to-runtime API generation) into an erroneous state that results in a crash, impacting compilation/inference availability.",[TVM][BUG] Conv2d_transpose error when running NNVM and Relay DCGAN benchmark,2019-03-15T19:36:10Z,https://github.com/apache/tvm/issues/2826
2898,apache/tvm,v0.5-pre,Incorrect Preservation of Model Semantics,IR Transformation Errors,"The IR optimization pass for loop distribution applies an invalid transformation that changes the program’s computation order/iteration semantics, generating incorrect code and causing inference result inconsistencies without necessarily crashing.",[TEXPR][PASS] Loop distribution pass generates incorrect code,2019-03-26T15:35:03Z,https://github.com/apache/tvm/issues/2898
2912,apache/tvm,v0.5-pre,CWE-754: Improper Check for Unusual or Exceptional Conditions,IR Transformation Errors,"The compute_inline/dataflow rewrite pass can be triggered to crash the compiler (denial of service) when inlining a compute that violates internal invariants (e.g., unexpected dependency/shape/buffer access patterns) without sufficient validation or defensive checks during the transformation.",a bug about compute_inline,2019-03-27T06:59:04Z,https://github.com/apache/tvm/issues/2912
2959,apache/tvm,v0.5-pre,CWE-682: Incorrect Calculation,Backend Inconsistencies,"The LLVM backend’s instruction selection/vectorization path generates incorrect AVX512 code for fp16 operations, causing numerically wrong results (inference inconsistency) compared to the original model/IR semantics without necessarily crashing.",[CodeGen] Incorrect vectorization for fp16 on X86-64 (AVX512),2019-04-04T01:34:49Z,https://github.com/apache/tvm/issues/2959
2965,apache/tvm,v0.5-pre,CWE-20: Improper Input Validation,Tensor Mapping Defects,"The ONNX import and subsequent Relay type inference/legalization do not robustly validate or handle certain channel/dimension configurations, leading to a compiler crash (availability impact) when processing crafted or unusual ONNX models.",[Relay][ONNX] channels issue.,2019-04-04T17:36:36Z,https://github.com/apache/tvm/issues/2965
2985,apache/tvm,v0.5-pre,Incorrect Preservation of Model Semantics,Tensor Mapping Defects,"During frontend import and Relay type inference, TVM changes the model’s input tensor shape, causing a mismatch with the original TensorFlow graph expectations. This breaks semantic equivalence (and can also trigger downstream crashes) because the compiled model no longer preserves the original input contract.",Input Shape Changed by TVM: leads to mismatch error,2019-04-08T18:59:25Z,https://github.com/apache/tvm/issues/2985
3002,apache/tvm,v0.5-pre,CWE-617: Reachable Assertion,Tensor Mapping Defects,"During Relay->TE/HalideIR lowering via compile_engine precompute, the compiler attempts to infer the reshape argument and produces an invalid/unsupported shape expression, reaching a HalideIR internal assert and crashing compilation.","When infering reshape argument by precompute, cause HalideIR assert fail ",2019-04-10T03:14:24Z,https://github.com/apache/tvm/issues/3002
3052,apache/tvm,v0.5-pre,CWE-682: Incorrect Calculation,Backend Inconsistencies,"During CUDA lowering/code generation from TE/TIR, the compiler mishandles 3D thread-grid (blockIdx/threadIdx) mapping or index arithmetic, producing incorrect generated CUDA C code and thus inconsistent/incorrect inference results without necessarily crashing.",[TE Bug] Incorrect CUDA code generated when 3d thread-grid is used,2019-04-19T22:11:27Z,https://github.com/apache/tvm/issues/3052
3079,apache/tvm,v0.5-pre,CWE-20: Improper Input Validation,Invariant Violations,"The ONNX->Relay import path fails during type inference/validation, leading to a crash when processing certain ONNX models instead of handling the condition gracefully (e.g., rejecting the model with a controlled error).",[Relay][ONNX]Import ONNX model to inference failed,2019-04-23T08:05:10Z,https://github.com/apache/tvm/issues/3079
3106,apache/tvm,v0.5-pre,Improper Control of Compilation Availability,Memory Management Defects,"Executing an ONNX model via TVM Relay/graph executor can lead to a crash and potential memory corruption, indicating missing/insufficient validation and safety checks in generated runtime code paths when handling adversarial or malformed model inputs.",[Relay][ONNX]Excute ONNX on tvm failed,2019-04-26T09:45:10Z,https://github.com/apache/tvm/issues/3106
3216,apache/tvm,v0.5-pre,CWE-682: Incorrect Calculation,Numerical Computing Defects,"The Relay simplify_inference pass rewrites/folds batch_norm in a way that changes its numerical output, breaking semantic equivalence between the original model and the optimized/compiled model and leading to inconsistent inference results without necessarily crashing.",[Relay][Bug] simplify_inference does not preserve the numerical value of batch_norm,2019-05-21T01:41:22Z,https://github.com/apache/tvm/issues/3216
3254,apache/tvm,v0.5-pre,CWE-617: Reachable Assertion,Invariant Violations,"During the LowerThreadAllreduce pass, the rfactor transformation can encounter a buffer that is remapped more than once, triggering the internal invariant `Check failed: !load_remap_.count(buffers[idx])` and crashing compilation instead of gracefully rejecting or handling the IR pattern.",[rfactor] Check failed: !load_remap_.count(buffers[idx]),2019-05-29T02:53:40Z,https://github.com/apache/tvm/issues/3254
3610,apache/tvm,v0.5-pre,Improper Control of Compilation Availability,IR Transformation Errors,"A defect in Relay->TE lowering and/or TE scheduling during operator fusion can be triggered by certain Relay graphs, causing TVM to crash during compilation (denial of compilation availability).",Potential Fusion Bug,2019-07-24T16:54:56Z,https://github.com/apache/tvm/issues/3610
3635,apache/tvm,v0.5-pre,Improper Control of Compilation Availability,Others,"The Relay IR pretty-printer/debug printing enters extremely slow or non-terminating behavior when printing a large/complex Inception module, causing a hang (denial of service) during IR printing/debugging triggered by a crafted or adversarially complex model.",[Relay] Printing inception module hangs,2019-07-26T22:56:39Z,https://github.com/apache/tvm/issues/3635
3652,apache/tvm,v0.5-pre,CWE-682: Incorrect Calculation,Numerical Computing Defects,"During frontend IR construction (Relay op shape/type inference), an index calculation can overflow (e.g., using a too-small integer type for indexing/extent math). A crafted model with large dimensions can trigger the overflow, leading to invalid indexing and a compiler crash (denial of service).",transform.cc: potential index overflow,2019-07-29T13:25:28Z,https://github.com/apache/tvm/issues/3652
3825,apache/tvm,v0.5-pre,CWE-20: Improper Input Validation,Invariant Violations,The NNVM Keras frontend in TVM v0.5-pre can be driven into a crash (and potentially memory corruption/resource exhaustion) during model import/graph construction due to insufficient validation/robust handling of unexpected Keras model structures or attributes.,issue in NNVM keras frontend ,2019-08-23T05:38:09Z,https://github.com/apache/tvm/issues/3825
3946,apache/tvm,v0.5-pre,CWE-754: Improper Check for Unusual or Exceptional Conditions,Tensor Mapping Defects,"Relay's type solver has a bug in the unification logic for polymorphic/quantified function types, leading to an internal failure (crash) during type inference/type checking when presented with certain crafted type expressions or programs.",[Relay][Bug] Type unification bug (when unifying quantified functions),2019-09-12T23:33:47Z,https://github.com/apache/tvm/issues/3946
3950,apache/tvm,v0.5-pre,CWE-754: Improper Check for Unusual or Exceptional Conditions,Backend Inconsistencies,"During CUDA code generation/scheduling for Relay conv2d_grad, TVM can emit a kernel launch with invalid parameters (e.g., grid/block dimensions or shared-memory size), triggering CUDA_ERROR_INVALID_VALUE at runtime and causing a crash, allowing a crafted model/workload to break compilation/inference availability.",[Relay] CUDA_ERROR_INVALID_VALUE occurs when testing conv2d_grad,2019-09-13T07:09:19Z,https://github.com/apache/tvm/issues/3950
3998,apache/tvm,v0.5-pre,CWE-754: Improper Check for Unusual or Exceptional Conditions,IR Transformation Errors,"A crafted conv2d workload combined with a particular template causes TVM to fail (crash) in the lowering pipeline (notably loop_partition and MakeAPI), indicating missing robustness checks/handling for unusual IR patterns produced by scheduling.",TVM fails on the following conv2d with given template,2019-09-24T18:59:17Z,https://github.com/apache/tvm/issues/3998
4087,apache/tvm,v0.5-pre,Improper Control of Compilation Availability,Backend Inconsistencies,"The ROCm/AMDGPU LLVM code generation path in TVM v0.5-pre is incompatible with LLVM 8, causing a reproducible compiler crash during code generation; a crafted or merely valid model targeting this backend can trigger a denial-of-service (compilation failure), and the reported memory corruption indicates unsafe interactions in the backend/LLVM integration.",rocm backend: crash with LLVM 8,2019-10-08T10:59:54Z,https://github.com/apache/tvm/issues/4087
4387,apache/tvm,v0.5-pre,Improper Control of Compilation Availability,Others,"The code generator emits runtime calls via PackedFunc without ensuring thread-safety (e.g., shared/global PackedFunc state or unsynchronized access), allowing concurrent execution to trigger races that can crash inference or compilation when run in multi-threaded contexts.",PackedFunc usage in generated code should be thread-safe,2019-11-20T18:46:17Z,https://github.com/apache/tvm/issues/4387
4470,apache/tvm,v0.6.0,CWE-754: Improper Check for Unusual or Exceptional Conditions,Invariant Violations,"During IR optimization/lowering (loop partitioning and split_host_device), the CUDA codegen path requires proving certain bounds/conditions; for a valid conv2d_transpose configuration (2x2 kernel, stride (2,2)) the pass cannot discharge the proof (""Cannot prove"") and aborts, causing a compilation crash/denial of service with crafted model parameters.","Conv2d_transpose kernel 2x2, strides (2,2) fails for CUDA - Cannot prove",2019-12-05T02:09:41Z,https://github.com/apache/tvm/issues/4470
4508,apache/tvm,v0.6.0,Incorrect Preservation of Model Semantics,Tensor Mapping Defects,"Relay’s LayoutTransform legalization and/or its type relation logic fails to correctly apply or infer broadcasting rules when layouts are transformed, leading to wrong shape/type propagation and broken broadcast behavior (potentially causing incorrect results or downstream crashes).",Broadcasting is broken with LayoutTransform,2019-12-11T16:38:41Z,https://github.com/apache/tvm/issues/4508
4534,apache/tvm,v0.6.0,Improper Control of Compilation Availability,Memory Management Defects,"The Relay Dead Code Elimination optimization pass can recurse deeply (e.g., on adversarially nested/large Relay graphs) without depth checks or an iterative worklist, leading to call stack exhaustion and a compiler crash, impacting compilation availability.",[Relay] Dead code elimination pass blows up call stack,2019-12-17T16:03:49Z,https://github.com/apache/tvm/issues/4534
4660,apache/tvm,v0.6.0,CWE-754: Improper Check for Unusual or Exceptional Conditions,Backend Inconsistencies,"SaveJSON/LoadJSON mishandles constant data encoding/decoding (Unicode/Base64) on aarch64, leading to decode errors and crashes during IR serialization/deserialization; a crafted model/IR containing specific constant byte patterns can trigger the failure and cause compilation/inference unavailability.","Unicode, Base64 errors using SaveJSON, LoadJSON on constants with aarch64 only (works on x86_64)",2020-01-08T19:34:34Z,https://github.com/apache/tvm/issues/4660
4748,apache/tvm,v0.6.0,CWE-754: Improper Check for Unusual or Exceptional Conditions,Invariant Violations,"Relay build/optimization passes (e.g., constant folding / graph simplification) do not correctly handle the edge case where the entire Relay program reduces to constants, leading to an internal error/crash instead of producing a valid artifact or a graceful diagnostic.",[RELAY] Support RelayBuild with Only Constants,2020-01-20T09:31:03Z,https://github.com/apache/tvm/issues/4748
4754,apache/tvm,v0.6.0,Improper Control of Compilation Availability,IR Transformation Errors,"AutoTVM task extraction / Relay IR well-formedness checking crashes (segfault) on a valid but complex BERT Relay program, indicating unsafe handling of IR structures (e.g., unchecked assumptions about node shapes/types/attributes) leading to a compiler crash and loss of availability.",autotvm extract tasks from BERT model cause segmentation fault,2020-01-21T05:12:01Z,https://github.com/apache/tvm/issues/4754
4758,apache/tvm,v0.6.0,CWE-754: Improper Check for Unusual or Exceptional Conditions,IR Transformation Errors,"The Relay PrimitiveInliner optimization pass fails to correctly transform/inine `match` expressions when the match result is used more than once, leading to an invalid IR state and a compiler crash during subsequent compilation/lowering.",[relay] PrimitiveInliner doesn't correctly handle match expressions that have more than one use,2020-01-21T17:57:51Z,https://github.com/apache/tvm/issues/4758
4997,apache/tvm,v0.6.0,Incorrect Preservation of Model Semantics,IR Transformation Errors,"Relay VM bytecode lowering miscompiles programs containing a double/nested if construct, producing inference result inconsistencies (compiled behavior diverges from the original Relay semantics) without necessarily crashing.",[relay][VM] Miscompile with double-if,2020-03-05T23:03:39Z,https://github.com/apache/tvm/issues/4997
5130,apache/tvm,v0.6.0,CWE-787: Out-of-bounds Write,Memory Management Defects,"The GPU lowering/CUDA codegen emits a wrong bounds predicate for block/thread indices, allowing threads outside the intended iteration space to execute memory accesses, which can lead to out-of-bounds writes (memory corruption) and crashes when triggered by crafted schedules/shapes.",Wrong boundary check for GPU blocks / threads indicies,2020-03-23T03:43:30Z,https://github.com/apache/tvm/issues/5130
5189,apache/tvm,v0.6.0,CWE-476: NULL Pointer Dereference,Memory Management Defects,"A crafted or malformed TupleType/IR object triggers a code path in the runtime (FFI / IR object printing and type system) that dereferences a null internal pointer during printing/type processing, causing a crash and potential memory corruption.",Python unit test test_tuple_type crashes ,2020-03-31T01:43:28Z,https://github.com/apache/tvm/issues/5189
5245,apache/tvm,v0.6.0,Incorrect Preservation of Model Semantics,IR Transformation Errors,"The TIR lowering/transform pass `lower_warp_memory` does not correctly transform warp memory constructs, leading to inconsistent or incorrect inference results between the original and lowered/compiled program without necessarily crashing.",[TIR] lower_warp_memory not working,2020-04-06T09:01:31Z,https://github.com/apache/tvm/issues/5245
5303,apache/tvm,v0.6.0,Improper Control of Compilation Availability,IR Transformation Errors,"The TIR LoopPartition optimization pass can incorrectly transform loop bounds/indices, producing TIR that writes outside the intended buffer region, leading to memory corruption when the generated code is executed.",[TIR] Buggy LoopPartition,2020-04-10T10:38:46Z,https://github.com/apache/tvm/issues/5303
5366,apache/tvm,v0.6.0,Incorrect Preservation of Model Semantics,IR Transformation Errors,"In the TIR lowering pass `lower_warp_memory`, the implementation cannot correctly process functions containing more than one warp-scoped buffer. This incorrect assumption leads to wrong or inconsistent lowered code (e.g., incorrect buffer mapping/rewrites), producing inference result inconsistencies without necessarily crashing.",[TIR] lower_warp_memory cannot handle >1 warp buffers,2020-04-18T07:25:20Z,https://github.com/apache/tvm/issues/5366
5388,apache/tvm,v0.6.0,Improper Control of Compilation Availability,Memory Management Defects,"In the Vulkan runtime, a vkBuffer is released before the queued memory copy command is submitted/executed on the GPU, so the GPU/driver may access freed or reallocated memory during the copy, leading to memory corruption and crashes.",[RUNTIME][VULKAN] vkBuffer released before memory copy command send to GPU,2020-04-21T01:06:46Z,https://github.com/apache/tvm/issues/5388
5404,apache/tvm,v0.6.0,Improper Control of Compilation Availability,Memory Management Defects,"The Relay backend memory planning/storage allocation path (graph_plan_memory / storage allocation) fails when compiling a module produced by the gradient (backward) pass, causing a build-time crash and preventing compilation availability for crafted models that trigger this code path.",[Gradient] Building module out of backward function (gradient pass) fails.,2020-04-22T12:50:01Z,https://github.com/apache/tvm/issues/5404
5514,apache/tvm,v0.6.0,CWE-20: Improper Input Validation,Memory Management Defects,"The runtime RPC/remote NDArray copy logic does not properly validate or safely handle very large array sizes, leading to integer overflow or buffer size miscalculation during serialization/deserialization and resulting in memory corruption and a crash when a crafted large NDArray is transferred.",RPC error for large arrays,2020-05-05T17:35:24Z,https://github.com/apache/tvm/issues/5514
5559,apache/tvm,v0.6.0,Incorrect Preservation of Model Semantics,IR Transformation Errors,"The TIR optimization pass HoistIfThenElse performs an unsound if-then-else hoisting transformation, which can change program semantics (leading to inference result inconsistency) and in some cases produce invalid TIR that triggers crashes during compilation or runtime.",[TIR] Bugs in HoistIfThenElse,2020-05-11T12:51:23Z,https://github.com/apache/tvm/issues/5559
5580,apache/tvm,v0.6.0,CWE-617: Reachable Assertion,Tensor Mapping Defects,"The ONNX frontend/importer triggers a TVM internal CHECK failure when converting a crafted or unsupported max_pool2d operator configuration, causing an immediate crash instead of handling the condition gracefully (e.g., via validation and a recoverable error).",[ONNX] check-fail with max_pool2d operator,2020-05-12T18:41:14Z,https://github.com/apache/tvm/issues/5580
5605,apache/tvm,v0.6.0,Improper Control of Compilation Availability,IR Transformation Errors,"The Relay pattern rewriter can segfault during IR optimization when processing certain patterns/graphs, indicating missing defensive checks (e.g., invalid node assumptions or null/invalid references) that allow a crafted model/IR to trigger a compiler crash and deny compilation availability.",[BUG] Pattern Reeriter Seg Fault,2020-05-16T00:59:44Z,https://github.com/apache/tvm/issues/5605
5632,apache/tvm,v0.6.0,Improper Control of Compilation Availability,Memory Management Defects,"WorkspacePool's destructor in the Vulkan runtime can dereference an invalid or null internal pointer during teardown (e.g., when initialization/allocations partially fail or objects are destroyed out of order), leading to a segmentation fault and potential memory corruption.",[RUNTIME][VULKAN] Seg fault in WorkspacePool's destructor,2020-05-20T06:24:00Z,https://github.com/apache/tvm/issues/5632
5798,apache/tvm,v0.6.0,Improper Control of Compilation Availability,Others,"The compiler crashes during lowering/IR transformation when presented with a model containing a very large number of operations, indicating missing scalability safeguards (e.g., recursion depth, memory growth, or algorithmic complexity) and insufficient handling of unusually large inputs, allowing a crafted large program/model to trigger a denial-of-service via crash.",Can't build large number of operations,2020-06-13T15:28:52Z,https://github.com/apache/tvm/issues/5798
6140,apache/tvm,v0.6.1,Improper Control of Compilation Availability,Memory Management Defects,"A TensorFlow frontend model (SSD) triggers a failure in Relay backend graph_plan_memory/storage allocation initialization, causing the compiler/runtime to crash instead of handling the model and memory planning edge cases safely, impacting compilation/inference availability.",[Bug Report][Unit Test Failed] Failed to run the tensorflow frontend test_forward_ssd unit test,2020-07-27T01:53:57Z,https://github.com/apache/tvm/issues/6140
